ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000000001,14,45,107,42,19,49,23,11,0,29,95,113,129,102,53,48,44,38
ENSDARG00000000002,84,307,903,53,155,252,210,313,725,140,195,96,490,957,441,364,611,311
ENSDARG00000000018,500,450,603,766,437,559,311,849,1139,336,372,356,1137,574,901,461,628,705
ENSDARG00000000019,331,1430,2769,673,1712,2058,608,2391,3031,559,1629,2133,2139,4054,2713,764,3013,3131
ENSDARG00000000068,69,235,324,90,172,344,142,209,590,120,270,78,236,798,259,125,396,392
ENSDARG00000000069,112,181,214,301,301,532,267,641,1270,214,284,412,685,1299,496,230,892,438
ENSDARG00000000086,1584,1632,2899,2972,1990,3267,1312,3399,5633,1672,1722,1507,6467,7869,2978,2525,5744,5571
ENSDARG00000000103,2823,4353,5745,2936,5810,9067,2241,5169,6881,2432,2009,2993,6830,8663,3948,2822,12002,7403
ENSDARG00000000142,21,24,72,98,116,80,19,0,1,95,11,42,183,159,24,30,33,32
ENSDARG00000000151,60,121,332,60,126,260,98,306,459,140,150,46,328,904,554,145,430,405
ENSDARG00000000161,41,28,210,176,701,888,114,1380,1119,196,513,900,693,1854,1228,234,997,1601
ENSDARG00000000175,103,33,47,119,62,83,89,73,193,168,55,32,250,30,34,152,213,114
ENSDARG00000000183,268,367,152,445,60,169,116,165,638,244,118,125,1375,304,145,359,130,98
ENSDARG00000000189,142,478,758,713,1042,1394,536,2345,2130,814,517,1011,1835,2579,1578,564,1947,1227
ENSDARG00000000212,404,25,0,337,223,50,239,202,1864,215,988,167,197,180,62,245,279,105
ENSDARG00000000229,404,668,987,921,299,615,331,508,1253,227,65,156,1121,734,306,297,471,432
ENSDARG00000000241,258,517,832,351,1262,835,308,3927,3993,279,2415,766,933,12176,3570,374,6418,7576
ENSDARG00000000324,108,281,535,450,469,597,226,709,657,360,146,295,779,980,666,237,789,547
ENSDARG00000000349,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,11,4,0
ENSDARG00000000369,22,21,0,9,65,42,8,0,58,15,37,47,8,38,13,9,14,9
ENSDARG00000000370,1012,1075,925,1701,876,1228,917,1350,1759,1301,597,601,5718,1356,587,1765,1197,785
ENSDARG00000000380,10,19,0,30,15,0,43,1,317,23,10,0,98,0,0,41,0,8
ENSDARG00000000394,1186,1220,2241,1573,1213,1946,687,1963,3267,796,822,1083,2794,2864,1204,1163,2227,2393
ENSDARG00000000423,26,77,94,19,53,74,29,193,0,20,63,61,74,38,63,46,73,118
ENSDARG00000000442,77,126,77,78,159,139,158,221,122,187,77,108,230,268,138,95,232,212
ENSDARG00000000460,0,0,0,0,0,0,13,0,0,1,32,0,0,0,0,0,30,32
ENSDARG00000000472,136,222,109,788,313,382,201,50,471,336,126,62,1372,163,102,455,139,149
ENSDARG00000000476,88,125,88,34,90,51,112,91,307,140,202,55,146,52,148,57,133,324
ENSDARG00000000489,146,274,174,233,455,588,151,970,1527,145,366,528,434,1282,810,164,761,1102
ENSDARG00000000503,295,4,2,2286,412,627,306,858,1072,1233,475,261,11680,1487,769,3147,306,550
