ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000000001,14,76,42,34,23,5.5,29,104,129,77.5,48,41
ENSDARG00000000002,84,605,53,203.5,210,519,140,145.5,490,699,364,461
ENSDARG00000000018,500,526.5,766,498,311,994,336,364,1137,737.5,461,666.5
ENSDARG00000000019,331,2099.5,673,1885,608,2711,559,1881,2139,3383.5,764,3072
ENSDARG00000000068,69,279.5,90,258,142,399.5,120,174,236,528.5,125,394
ENSDARG00000000069,112,197.5,301,416.5,267,955.5,214,348,685,897.5,230,665
ENSDARG00000000086,1584,2265.5,2972,2628.5,1312,4516,1672,1614.5,6467,5423.5,2525,5657.5
ENSDARG00000000103,2823,5049,2936,7438.5,2241,6025,2432,2501,6830,6305.5,2822,9702.5
ENSDARG00000000142,21,48,98,98,19,0.5,95,26.5,183,91.5,30,32.5
ENSDARG00000000151,60,226.5,60,193,98,382.5,140,98,328,729,145,417.5
ENSDARG00000000161,41,119,176,794.5,114,1249.5,196,706.5,693,1541,234,1299
ENSDARG00000000175,103,40,119,72.5,89,133,168,43.5,250,32,152,163.5
ENSDARG00000000183,268,259.5,445,114.5,116,401.5,244,121.5,1375,224.5,359,114
ENSDARG00000000189,142,618,713,1218,536,2237.5,814,764,1835,2078.5,564,1587
ENSDARG00000000212,404,12.5,337,136.5,239,1033,215,577.5,197,121,245,192
ENSDARG00000000229,404,827.5,921,457,331,880.5,227,110.5,1121,520,297,451.5
ENSDARG00000000241,258,674.5,351,1048.5,308,3960,279,1590.5,933,7873,374,6997
ENSDARG00000000324,108,408,450,533,226,683,360,220.5,779,823,237,668
ENSDARG00000000349,0,0,4,0,0,0,0,6.5,0,0,11,2
ENSDARG00000000369,22,10.5,9,53.5,8,29,15,42,8,25.5,9,11.5
ENSDARG00000000370,1012,1000,1701,1052,917,1554.5,1301,599,5718,971.5,1765,991
ENSDARG00000000380,10,9.5,30,7.5,43,159,23,5,98,0,41,4
ENSDARG00000000394,1186,1730.5,1573,1579.5,687,2615,796,952.5,2794,2034,1163,2310
ENSDARG00000000423,26,85.5,19,63.5,29,96.5,20,62,74,50.5,46,95.5
ENSDARG00000000442,77,101.5,78,149,158,171.5,187,92.5,230,203,95,222
ENSDARG00000000460,0,0,0,0,13,0,1,16,0,0,0,31
ENSDARG00000000472,136,165.5,788,347.5,201,260.5,336,94,1372,132.5,455,144
ENSDARG00000000476,88,106.5,34,70.5,112,199,140,128.5,146,100,57,228.5
ENSDARG00000000489,146,224,233,521.5,151,1248.5,145,447,434,1046,164,931.5
ENSDARG00000000503,295,3,2286,519.5,306,965,1233,368,11680,1128,3147,428
ENSDARG00000000516,0,0,17,6,0,0,0,2,10,5.5,3,26
ENSDARG00000000529,160,674.5,195,204,112,610,155,208.5,441,381.5,210,323.5
ENSDARG00000000540,155,363.5,161,206.5,126,493.5,157,108,231,234,121,314.5
ENSDARG00000000542,167,357,149,272.5,124,615.5,106,169,361,201.5,215,348
ENSDARG00000000551,243,353,602,218,438,582.5,437,156,2021,538.5,791,567
ENSDARG00000000563,5031,7664.5,5477,32946,4565,80158,3961,13902.5,20424,29663,5467,44824.5
ENSDARG00000000567,1771,816.5,2288,1185.5,713,1152.5,691,421,2918,946,1109,1043
ENSDARG00000000568,250,533.5,283,438.5,159,369.5,179,285.5,605,579.5,263,658
ENSDARG00000000588,37,68,32,25.5,54,179.5,61,101.5,120,257,56,233
ENSDARG00000000606,53,39.5,86,48.5,56,242.5,162,42,128,42.5,81,98.5
ENSDARG00000000631,427,616.5,635,1580.5,415,2276.5,532,867,1220,2468,451,1806.5
ENSDARG00000000651,4,12,0,22,2,0,4,18.5,28,42,20,28.5
ENSDARG00000000656,0,0,0,9,0,47,0,0,0,0,9,2
ENSDARG00000000666,96,144,65,174.5,126,225.5,156,385,232,514,57,401
ENSDARG00000000690,122,258,85,1758,111,1494,57,699,140,1068,60,1467
ENSDARG00000000729,727,1386.5,836,666,455,1103.5,343,358,1111,881,455,998.5
ENSDARG00000000730,43,136.5,45,51,35,202,54,25,132,322,34,213
